# rubric.tsv — the sections of this paper, in document order.  The coverage gate
# requires each heading to appear and each section-tagged claim to be cited in it.
# key <TAB> heading title
intro	The Problem: Papers Assert, Nothing Checks
model	The Model: A Paper as a Projected Claim-DAG
edges	The Dependency Graphs: Prose Order, Grounding, and the Typed Move
engine	The Engine: Projection and Gate
resolver	The Check-Resolver: One Pluggable Seam
selfhost	Self-Hosting: This Paper Verifies Itself
projection	The Projector: Weave, Connectors, and Placement
gate	The Gate: Resolution and Its Strict Modes
adequacy	Adequacy: How Δ Grades a Check
liveness	Liveness: Resumable Witnesses
rhetoric	Rhetoric: Typed Moves and Checkable Schemes
projects	The Repository: A Family of Verified Projects
implications	Implications: What Follows, and the Honest Limits
related	Related Work
conclusion	Conclusion
